Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-04 13:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2023-01-04 14:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2023-01-04 15:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2023-01-04 16:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
2023-01-04 17:00:00,USA,Southwestern Power Administration,US-CENT-SPA,63.13,90.83,91.41,91.4,eia.gov,false,
2023-01-04 18:00:00,USA,Southwestern Power Administration,US-CENT-SPA,170.84,205.18,76.5,76.43,eia.gov,false,
2023-01-04 19:00:00,USA,Southwestern Power Administration,US-CENT-SPA,213.55,250.26,70.76,70.63,eia.gov,false,
2023-01-04 20:00:00,USA,Southwestern Power Administration,US-CENT-SPA,252.62,291.09,65.76,65.6,eia.gov,false,
2023-01-04 21:00:00,USA,Southwestern Power Administration,US-CENT-SPA,254.33,292.46,65.75,65.55,eia.gov,false,
2023-01-04 22:00:00,USA,Southwestern Power Administration,US-CENT-SPA,241.52,278.9,67.47,67.31,eia.gov,false,
2023-01-04 23:00:00,USA,Southwestern Power Administration,US-CENT-SPA,56.53,83.5,92.5,92.48,eia.gov,false,
2023-01-05 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,29.46,55.02,96.08,96.07,eia.gov,false,
2023-01-05 01:00:00,USA,Southwestern Power Administration,US-CENT-SPA,208.54,243.64,72.15,72.03,eia.gov,false,
2023-01-05 02:00:00,USA,Southwestern Power Administration,US-CENT-SPA,270.28,308.64,63.82,63.39,eia.gov,false,
2023-01-05 03:00:00,USA,Southwestern Power Administration,US-CENT-SPA,294.24,334.13,60.61,60.4,eia.gov,false,
2023-01-05 04:00:00,USA,Southwestern Power Administration,US-CENT-SPA,304.36,345.17,58.99,58.74,eia.gov,false,
2023-01-05 05:00:00,USA,Southwestern Power Administration,US-CENT-SPA,319.44,361.13,56.91,56.65,eia.gov,false,
2023-01-05 06:00:00,USA,Southwestern Power Administration,US-CENT-SPA,295.11,336.04,59.86,59.6,eia.gov,false,
2023-01-05 07:00:00,USA,Southwestern Power Administration,US-CENT-SPA,282.03,322.61,61.31,60.99,eia.gov,false,
2023-01-05 08:00:00,USA,Southwestern Power Administration,US-CENT-SPA,281.95,322.5,61.25,60.94,eia.gov,false,
2023-01-05 09:00:00,USA,Southwestern Power Administration,US-CENT-SPA,273.51,314.72,61.86,61.06,eia.gov,false,
2023-01-05 10:00:00,USA,Southwestern Power Administration,US-CENT-SPA,289.75,340.3,57.04,56.46,eia.gov,false,
2023-01-05 11:00:00,USA,Southwestern Power Administration,US-CENT-SPA,313.95,368.82,52.94,52.23,eia.gov,false,
2023-01-05 12:00:00,USA,Southwestern Power Administration,US-CENT-SPA,127.49,170.03,79.03,79.0,eia.gov,false,
2023-01-05 13:00:00,USA,Southwestern Power Administration,US-CENT-SPA,106.67,148.55,81.71,81.71,eia.gov,false,
2023-01-05 14:00:00,USA,Southwestern Power Administration,US-CENT-SPA,123.29,168.94,78.56,78.56,eia.gov,false,
2023-01-05 15:00:00,USA,Southwestern Power Administration,US-CENT-SPA,117.19,161.77,79.62,79.62,eia.gov,false,
2023-01-05 16:00:00,USA,Southwestern Power Administration,US-CENT-SPA,173.45,227.91,69.84,69.84,eia.gov,false,
2023-01-05 17:00:00,USA,Southwestern Power Administration,US-CENT-SPA,213.47,274.97,62.87,62.87,eia.gov,false,
2023-01-05 18:00:00,USA,Southwestern Power Administration,US-CENT-SPA,437.88,525.4,28.36,26.87,eia.gov,false,
2023-01-05 19:00:00,USA,Southwestern Power Administration,US-CENT-SPA,441.38,533.05,26.57,25.46,eia.gov,false,
2023-01-05 20:00:00,USA,Southwestern Power Administration,US-CENT-SPA,450.34,538.16,26.86,25.16,eia.gov,false,
2023-01-05 21:00:00,USA,Southwestern Power Administration,US-CENT-SPA,447.41,533.78,27.71,25.93,eia.gov,false,
2023-01-05 22:00:00,USA,Southwestern Power Administration,US-CENT-SPA,199.14,258.12,65.37,65.37,eia.gov,false,
2023-01-05 23:00:00,USA,Southwestern Power Administration,US-CENT-SPA,119.58,164.58,79.2,79.2,eia.gov,false,
2023-01-06 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,144.06,193.36,74.95,74.95,eia.gov,false,
2023-01-06 01:00:00,USA,Southwestern Power Administration,US-CENT-SPA,194.15,252.25,66.24,66.24,eia.gov,false,
2023-01-06 02:00:00,USA,Southwestern Power Administration,US-CENT-SPA,426.43,513.07,30.04,28.79,eia.gov,false,
2023-01-06 03:00:00,USA,Southwestern Power Administration,US-CENT-SPA,422.77,512.26,29.5,28.58,eia.gov,false,
2023-01-06 04:00:00,USA,Southwestern Power Administration,US-CENT-SPA,444.15,537.76,25.63,24.72,eia.gov,false,
2023-01-06 05:00:00,USA,Southwestern Power Administration,US-CENT-SPA,440.41,533.46,26.28,25.36,eia.gov,false,
2023-01-06 06:00:00,USA,Southwestern Power Administration,US-CENT-SPA,490.51,592.97,17.35,16.48,eia.gov,false,
